"V2","V30","V23","V15","V4","V8","V33","V3","V26","V29","V7","V6","V16","V5","V19","V13","V17","V10","V34"
0.29202,0.70798,-0.20883,0.03905,0.45331,0.52632,-0.03226,0.13582,0.50369,0.09847,-0.00509,0.51783,0.81664,0.16808,-0.04244,-0.04754,-0.22411,0.52462,1
0.79157,-1,0.23725,0.1286,0,0.39468,0,0.16851,-0.34146,0.69401,0.06874,0.56541,-0.02661,0,0.84922,0.53215,0.95122,0.38359,2
0.90116,-0.71475,0.53805,0.85038,0.79299,0.59784,-0.19904,0.16607,-0.71844,0.11218,0.50515,0.7299,-0.12611,0.37379,0.79617,0.87493,0.87396,0.44303,1
0.97714,-0.67289,0.33537,0.8429,0.82683,0.47968,-0.497,0.19049,-0.83314,-0.19321,0.58732,0.71771,-0.3202,0.46259,0.79525,0.93945,0.91624,0.31409,1
-1,1,-1,0,0,0.60586,0,-1,-1,-1,-0.78502,0.50814,1,0,-0.63518,0,-0.2671,-1,2
0.74084,0.59759,0.12185,0.08442,0.79074,0.6623,0.15114,0.04974,0.64158,0.17539,0.03793,0.78575,0.70681,0.02543,0,0.07348,-0.07853,0.67801,1
1,1,-1,0,0,0.80882,0,-1,-1,-1,-0.99265,0.77941,0.72059,0,-0.60294,0,-0.77206,-0.41912,2
1,0.96436,-0.19272,-0.15727,0.96215,1,-0.23296,0.01709,0.9649,-0.17123,-0.03436,1,1,-0.03142,-0.11813,-0.09002,-0.14257,0.99026,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
0.95704,0.89095,-0.39458,-0.31395,0.63318,0.97026,-0.41573,-0.12095,0.88793,-0.23728,-0.18242,0.96365,0.99273,-0.1269,-0.21018,-0.24719,-0.21216,0.92003,1
0.28409,0.16288,0,0,0,0.30682,0,-0.31818,1,-0.48485,-1,0.68182,0.59091,0,-0.80682,-0.84848,-0.35985,0.64394,2
0.9449,1,-0.26571,-0.15017,1,0.90083,-0.44739,-0.49311,1,-0.36931,-0.87052,0.98898,1,-0.03692,-0.20491,-0.12493,-0.17681,1,1
0,0,0,0,0,0,0,0,1,0,0,0,0.36585,0,-1,0,-0.71951,0.62195,2
0.99449,0.80253,-0.05882,-0.20848,0.84082,0.99061,-0.27794,0.00526,0.87579,-0.16581,-0.16431,0.88237,0.93881,-0.11313,-0.08935,0.02966,-0.12977,0.96484,1
0.10135,0,0,0,0,0.5473,0,0.10811,1,-0.23649,0,0,0.37162,0,-1,0,-1,0.31081,2
1,1,-0.74896,-0.57535,0.9915,1,-0.76112,-0.57224,0.53777,-1,-0.9745,0.89518,1,-0.73371,-0.88952,-0.86402,-0.79603,1,1
0.65909,0,0,0,0,0.77273,0,-0.62879,1,-0.93182,0,0,0.62121,0,-1,0,-0.22727,1,2
0.86284,-0.54866,0.40996,0.86284,0.8092,0.54559,-0.31954,0.1931,-0.63038,-0.07816,0.55785,0.67203,-0.17241,0.41149,0.65747,0.85671,0.75785,0.36705,1
0.42,0,0,0,0,0.9,0,-0.61,1,0,-1,1,0.67,0,-1,0,-0.29,0.43,2
1,-0.51251,0.29162,0.91404,0.91404,0.4766,-0.53319,0.23395,-0.71731,-0.28183,0.72144,0.7802,-0.34168,0.52013,0.64527,0.88248,0.75517,0.27639,1
0.91353,0,0.00019,-0.03403,-0.72973,0.05405,0,0.81586,-1e-05,0,0.55735,-0.39466,0.01108,1,0.00097,-0.0897,-0.00537,-0.18599,2
0.21429,0.16997,-0.11905,-0.04762,0.33333,0.2381,-0.01877,-0.09524,0.22109,0,0.19048,0.19048,0.28571,0.07143,0.04762,-0.04762,-0.11905,0.40476,1
1,0.27869,-0.29508,-0.16393,1,0.65574,-0.06557,-0.14754,0.52385,-0.03279,-0.01639,0.57377,0.19672,0.04918,-0.17176,0,-0.14754,0.85246,2
0.98182,0.60715,0.13493,0.09579,0.88627,0.8,0.17077,0,0.64581,0.02727,0.04572,0.86249,0.62727,0.03131,0.12727,0.08436,0.25455,0.69091,1
0.39286,-0.54891,-0.47594,-0.63668,-0.78824,0.66667,-0.55837,0.52381,0.51971,0.39286,-0.76378,-0.16628,0.46429,0.11342,0.05952,0.30729,0.15476,0.82143,2
0.86889,1,-0.18667,-0.2,1,0.87778,-0.44222,-0.07111,1,-0.14667,-0.06889,1,0.86889,-0.02494,-0.03778,-0.07287,0.05333,0.83556,1
0.43636,0.12727,0.16364,-0.41818,0.58182,0.34545,-0.29091,-0.12727,0.41098,-0.05455,-0.67273,0.18182,0.2,-0.14545,0.05455,0.29091,-0.01818,0.29091,2
1,1,-0.00112,-0.0566,1,0.62264,-0.11321,-0.92453,0.92192,-1,-0.0566,0.49057,0.98878,0.75472,0,0.07547,-0.00085,1,1
0.7381,-0.66667,-0.2619,-0.07143,-0.7619,0.45238,0.02381,0.83333,0.24889,0,-0.14286,0.33333,-0.38214,-0.2381,0.02381,0,0.51163,-0.67285,2
0.4375,0.58333,0.1875,0.02083,0.58333,0.33333,-0.0625,0.04167,0.44012,-0.08333,0,0.39583,0.4375,-0.10417,-0.22917,0.10417,-0.22917,0.47917,1
1,0,0.20301,0.28571,0,0,0,1,1,1,0,0,0.64662,0,0,0.45489,1,0.47744,2
0.95217,0.23405,0.44511,0.37988,0.93614,0.84881,0.37191,0.06595,0.34374,1,0.19152,0.90996,0.66145,0.1303,0.59862,0.34328,0.40844,0.90023,1
0.5984,0.87757,-0.85755,0.88444,0.82809,0.8401,0.68822,0.40332,1,0.42677,0.70709,0.76001,0.95452,0.80521,0.18135,-0.85727,-0.05206,0.97311,2
0.95882,1,-0.05318,-0.05343,1,0.96974,-0.06888,0.10129,0.95677,0.01307,0.02555,0.98313,1,-0.01918,0.01557,-0.03096,-0.05179,0.98955,1
0,0.04447,-1,0.65565,-0.33672,0.68869,0,0,1,0,0,0,0.94155,0.85388,0,-0.59212,0.16391,0.97078,2
0.96933,1,-0.04744,-0.02581,1,0.97868,-0.04112,0.00876,0.99188,-0.02478,-0.00763,0.98658,1,0.00843,0.00025,-0.01271,-0.01175,0.9982,1
0,1,-0.41622,0.07027,0.98919,0,-0.15676,0,1,0,-0.05405,0.18919,1,-0.22703,0,-0.2,-0.11351,0.93243,2
0.64122,0.19512,0.05813,0,0.34146,0.19512,0.07317,0.01403,0.19304,0.05504,0.03466,0.52751,0.36585,-0.02439,0.07317,0.04878,0,0.43313,1
1,1,-0.27778,1,1,0,0,1,1,1,0,0,1,-1,0,-1,-1,1,2
0.34694,-0.34694,0.32653,0.5102,0.46939,0.46939,-0.2449,0.20408,-0.46579,0.18367,0.20408,0.40816,-0.06122,0.2449,0.55102,0.55102,0.55102,0.30612,1
0,1,1,0.23288,1,0,0,0,1,0,0,0,1,-1,0,-0.25342,-1,1,2
0.89706,-0.44118,0.08824,0.82353,0.91176,0.45588,-0.56618,0.38235,-0.67925,-0.42647,0.67647,0.74265,-0.375,0.375,0.47794,0.86029,0.67647,0.19118,1
-1,0.18301,-0.94118,-0.02614,0.22222,-0.30719,-0.48241,0.28105,0.74385,0.05229,-0.70984,-0.75693,-0.98039,0.15033,-0.54248,0.33987,-0.83007,-1,2
0.26667,0.46667,0,-0.06667,0.53333,0.36667,-0.05,-0.1,0.46214,0.03333,-0.13333,0.33333,0.53333,0,-0.01667,0.08333,0.2,0.56667,1
-0.26667,0,0.00102,-0.00166,-0.27303,0.06192,2e-05,0.4,0.00019,5e-05,-0.04444,-0.17778,-0.00093,0.12159,-0.00153,0.02726,-0.00883,0.04461,2
1,0.72973,0.13514,-0.05405,0.64865,0.86486,-0.24324,-0.37838,0.61031,-0.23027,-0.24324,0.64865,0.32432,0.2973,-0.17666,0,-0.21622,1,1
0.94531,-1,0.34766,-0.00391,-1,0.97266,-0.34375,-0.03516,0.82041,-0.06641,-0.01563,-1,0.95313,-0.33203,-0.02734,0.16406,-0.03516,0.93359,2
0.95202,0.95434,-0.0237,-0.00405,0.93757,0.96705,0.00809,0.02254,0.96215,0.01908,0.01214,0.93526,0.9948,-0.01272,0.01792,-0.03064,-0.02659,0.96936,1
1,1,-0.50333,-0.3466,1,0.36111,-0.65935,-0.05529,1,-0.27778,-0.11111,0.5,1,-1,-0.42862,-0.11111,-0.38853,1,2
0.31034,-0.00012,-0.00166,-0.01482,0.24138,0.07405,-6e-05,-0.10345,-0.00025,-0.00024,-0.06897,0.2069,0.00281,-0.10345,-0.00523,-0.02383,-0.00893,0.03649,1
0.62745,0.43137,-0.23529,-0.09804,0.72549,0.62745,-0.27451,-0.07843,0.52409,-0.31373,-0.07843,0.60784,0.54902,0,-0.21569,-0.13725,-0.11765,0.68627,2
0.25,-0.00089,-0.00273,0.06317,0.46667,0.07766,-0.00291,0.16667,-0.00621,-0.0052,0.23966,0.19036,-0.03766,0.26667,0.01532,0.10188,0.03458,0.0107,1
-0.65625,-0.03125,0,0,0.0625,0.625,0.09375,0.15625,0.03125,0.03125,0.0625,0,0.15625,0,-0.375,0.09375,-0.15625,0.1875,2
1,1,0.04324,-0.06486,1,0.95135,-0.07027,-0.01081,0.98556,-0.03243,-0.06486,1,0.95135,-0.02703,-0.00541,0.08649,0.09189,0.98919,1
0.85271,1,-1,1,1,0.91473,1,0.05426,1,0.06977,1,1,0.81395,0.08069,0.11628,0.27153,0.04651,0.83721,2
0.90374,1,-0.01604,0.06417,1,0.93048,0.06417,-0.01604,0.96974,0.0107,0.01604,1,1,0.08021,0.04278,0,0.04813,0.93583,1
-0.205,-0.27104,0.33176,0.21,0.23,0.3225,0.0305,0.2875,0.3219,0.185,0.3175,0.2825,-0.0875,0.1,0.31408,0.275,0.235,0.36285,2
0.6,0.6,0,0,0.63333,0.7,0.16667,0.03333,0.65932,0.13333,0.06667,0.7,0.7,0.06667,0.1,0,0.1,0.63333,1
0.05866,0.04469,-0.00559,-0.03352,0.06704,0.00559,-0.03352,-0.00838,0.10335,-0.00279,-0.01117,0,0,0.00838,0.07542,0.05307,0.09497,0.01676,2
0.94653,0.46059,-0.55089,0.41743,0.72554,0.01267,-0.0598,0.28713,0.16085,-0.41901,0.82455,0.47564,-0.66455,0.67248,-0.19525,0.56079,0.07208,-0.24871,1
0.0546,0.02586,-0.01149,-0.04598,-0.02586,-0.07759,-0.00575,0.01437,0.00862,0.01149,0.04598,0.01437,-0.09483,0.04598,0.05172,0.0431,0.08046,0.01724,2
0.72414,0.82956,0.05517,0.01675,0.79704,0.79015,0.00788,-0.01084,0.78041,-0.05025,0.00197,0.8,0.80099,0.01084,-0.02956,0.03251,-0.00788,0.78424,1
0.03852,-0.02568,-0.02282,-0.03281,0.00428,0.0214,0.01997,0.02568,0.03994,0.00713,-0.01997,0.01997,-0.04708,0,0.03566,-0.02282,-0.02853,-0.0485,2
0.4709,0.24868,-0.38095,0.3254,0.42328,0.01852,0.04233,0.22751,0.03574,-0.21693,0.47619,0.25661,-0.51587,0.33598,-0.1164,0.31217,0.06878,-0.02116,1
0.08696,0.09611,-0.00229,-0.13501,0.13959,0.12586,-0.06865,0.00686,0.08467,-0.06636,-0.08238,0.10526,0.29062,-0.04119,0.07323,0.0778,-0.04805,0.23341,2
0.94333,0.02742,-0.3766,-0.31079,0.48263,-0.55941,0.50457,0.38574,0.60098,0.60512,0.77514,0.21572,-0.38391,0.64534,-0.69287,0,-0.62157,-0.73675,1
0.01975,-0.01693,0,0.06065,0.0409,0.01128,0,0.00705,0.01834,-0.01551,0.01128,0.02116,-0.0409,-0.00846,-0.00423,-0.03103,0.0268,0.00282,2
0.85736,0.73936,0.0224,0.0351,0.81927,0.84317,-0.09186,0.00075,0.82383,-0.06423,-0.04182,0.77521,0.83719,-0.05676,-0.1419,-0.06124,-0.06796,0.86258,1
1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,2
0.85209,0.19667,-0.3523,-0.31044,0.38887,-0.42625,0.64933,0.39252,0.71698,0.5831,0.98903,0.08858,-0.6603,0.76432,-0.86063,0.10768,-0.55262,-0.76229,1
1,-0.94375,1,0,1,1,0,1,1,1,-1,0.625,1,0.5125,1,1,-1,0.025,2
1,0.23529,-0.72549,-0.33333,0.62745,-0.4902,0.90196,0.54902,0.92874,0.56863,1,0.01961,-0.64706,1,-0.86275,0.11765,-0.68627,-0.82353,1
0,-1,1,-1,-1,0,1,0,1,0,1,-1,0,-1,0,1,0,-1,2
0.44444,0.22222,-0.22222,-0.22222,0.53695,-0.33333,1,0.44444,0.9212,0.84353,1,-0.22222,-0.66667,0.90763,-1,-0.11111,-0.77778,-1,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1,0.69635,-0.25,0.16228,1,0.75,0.30293,0,0.73944,0.25,0.5,0.5,0.75,0,0.5,0.1421,0.25,0.91201,1
-1,-1,0,-1,1,1,0,1,1,1,0,0,0,1,-1,-1,0,1,2
1,0.88889,-0.11111,0,1,1,0,0,0.90347,0.11111,0.11111,0.66667,0.77778,0,-0.11111,-0.22222,0,0.88889,1
0,1,1,0,0,0,0,0,1,-1,0,0,1,0,0,-1,0.75,0,2
1,1,0.09091,-0.18182,1,1,-0.18182,0.45455,1,0.45455,0.09091,1,1,-0.45455,0,-0.27273,0.09091,1,1
0.62121,0.18182,0.17803,0.31439,0,0.3447,-0.41667,-0.63636,0.25758,0.24242,0,0,-0.53788,0,-0.14773,0.51894,0.32955,0.42803,2
1,1,0.41176,0.47059,1,1,0.23529,0.11765,1,0.05882,0.41176,1,1,0.23529,-0.11765,0.11765,-0.05882,1,1
